date,adult,medical,violence
2022-04-02,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2024-07-09,UNLIKELY,UNLIKELY,UNLIKELY
2018-11-06,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-06,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-07-08,VERY_UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-04-02,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-08,POSSIBLE,LIKELY,VERY_LIKELY
2024-05-26,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2018-03-29,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-10-24,POSSIBLE,VERY_UNLIKELY,VERY_UNLIKELY
2024-06-30,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2022-07-13,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2019-09-14,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2022-05-20,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2016-05-01,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2016-08-07,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-01-17,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-04-04,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-07-08,UNLIKELY,LIKELY,VERY_LIKELY
2024-07-06,VERY_UNLIKELY,VERY_LIKELY,VERY_LIKELY
2019-09-29,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2021-09-10,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2023-08-31,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2021-02-18,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2024-07-09,UNLIKELY,UNLIKELY,VERY_LIKELY
2024-05-04,VERY_UNLIKELY,VERY_LIKELY,VERY_LIKELY
2023-10-22,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2024-04-29,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2023-06-26,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2020-11-09,UNLIKELY,UNLIKELY,UNLIKELY
2019-04-11,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2024-03-31,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-29,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2023-10-23,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-08-05,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2024-03-20,VERY_UNLIKELY,LIKELY,VERY_LIKELY
2021-12-11,POSSIBLE,VERY_UNLIKELY,UNLIKELY
2024-05-30,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-05-31,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-04-12,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-04-30,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2021-12-23,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2024-07-08,VERY_UNLIKELY,UNLIKELY,LIKELY
2022-04-03,UNLIKELY,UNLIKELY,UNLIKELY
2024-07-07,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2021-07-10,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-04-04,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-06-30,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-11-09,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-01-09,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-11,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-31,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2017-11-06,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-07,UNLIKELY,POSSIBLE,VERY_LIKELY
2024-07-03,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2023-07-16,VERY_LIKELY,UNLIKELY,LIKELY
2022-01-03,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2017-08-13,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2017-12-26,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-04-02,UNLIKELY,POSSIBLE,VERY_LIKELY
2014-03-24,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2018-02-07,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-05-20,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-12-27,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-05,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-06-13,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-01-24,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-21,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2018-07-20,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2022-10-04,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2015-12-05,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-06-25,POSSIBLE,UNLIKELY,VERY_UNLIKELY
2022-03-30,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2023-04-22,UNLIKELY,UNLIKELY,UNLIKELY
2024-07-03,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-04-07,VERY_UNLIKELY,LIKELY,VERY_LIKELY
2021-08-20,VERY_UNLIKELY,POSSIBLE,VERY_UNLIKELY
2023-08-12,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-08,UNLIKELY,VERY_UNLIKELY,VERY_LIKELY
2021-01-29,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-04-12,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2023-12-07,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-04-07,VERY_UNLIKELY,LIKELY,LIKELY
2024-04-26,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2023-05-31,UNLIKELY,UNLIKELY,UNLIKELY
2022-08-18,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2020-06-23,UNLIKELY,UNLIKELY,UNLIKELY
2024-03-15,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-15,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2012-11-22,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2020-08-21,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-04-23,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2016-04-25,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-03,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2014-07-04,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-04-04,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-10-09,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-27,POSSIBLE,LIKELY,VERY_LIKELY
2024-07-08,UNLIKELY,LIKELY,VERY_LIKELY
2024-07-06,UNLIKELY,LIKELY,VERY_LIKELY
2024-04-07,UNLIKELY,POSSIBLE,VERY_LIKELY
2024-07-03,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2016-01-03,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2023-11-03,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2021-09-02,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2020-03-04,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2022-01-03,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2016-01-13,UNLIKELY,UNLIKELY,VERY_UNLIKELY
2024-03-10,UNLIKELY,POSSIBLE,VERY_LIKELY
2024-03-17,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2022-05-16,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2022-10-10,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
